Unnamed: 0,id,scrape_id,last_scraped,source,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
89,2572332,20241200000000.0,20/12/24,city scrape,13172321,16/03/14,within a few hours,100.0,98%,t,1,t,t,Santo Stefano,44.48794,11.33223,Entire rental unit,Entire home/apt,4,2.0,2 baths,2.0,3.0,"[""40 inch HDTV with Netflix, Amazon Prime Video, standard cable, Disney+"", ""Dining table"", ""Bidet"", ""Candy stainless steel gas stove"", ""Microwave"", ""Books and reading material"", ""Wifi"", ""Single level home"", ""Hair dryer"", ""Oven"", ""Children\u2019s books and toys"", ""Bed linens"", ""Iron"", ""Shared backyard \u2013 Fully fenced"", ""Hangers"", ""Hot water kettle"", ""Carbon monoxide alarm"", ""Central heating"", ""Elevator"", ""Outdoor dining area"", ""Shower gel"", ""Refrigerator"", ""Body soap"", ""Radiant heating"", ""Dishes and silverware"", ""Outdoor furniture"", ""Drying rack for clothing"", ""Private entrance"", ""Breakfast"", ""Free washer \u2013 In unit"", ""Garden view"", ""Private patio or balcony"", ""Coffee maker: espresso machine, Nespresso"", ""Freezer"", ""Free parking on premises"", ""Conditioner"", ""Cleaning products"", ""Hot water"", ""Pack \u2019n play/Travel crib - available upon request"", ""Shampoo"", ""Clothing storage: closet"", ""Coffee"", ""Self check-in"", ""Dishwasher"", ""Room-darkening shades"", ""Baking sheet"", ""Cooking basics"", ""Lockbox"", ""Bathtub"", ""Dedicated workspace"", ""Portable fans"", ""Toaster"", ""Kitchen""]",$86.00,2,28,6,22,40,59,233,33,4,07/04/14,13/12/24,4.8,4.91,4.88,4.94,4.96,4.81,4.83,IT037006C2ANO3TJLK,f,1,1,0,0,1.79
104,3064628,20241200000000.0,20/12/24,city scrape,15597400,16/05/14,within an hour,100.0,100%,t,1,t,t,Porto - Saragozza,44.49619,11.33653,Entire vacation home,Entire home/apt,7,3.0,3 baths,3.0,4.0,"[""TV"", ""Wine glasses"", ""Dining table"", ""Bidet"", ""Laundromat nearby"", ""Smoke alarm"", ""Microwave"", ""Books and reading material"", ""Wifi"", ""Single level home"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Central air conditioning"", ""Children\u2019s dinnerware"", ""Courtyard view"", ""Hangers"", ""Hot water kettle"", ""LG induction stove"", ""Pack \u2019n play/Travel crib"", ""Carbon monoxide alarm"", ""Shower gel"", ""Refrigerator"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Outdoor furniture"", ""Drying rack for clothing"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""Essentials"", ""Freezer"", ""Crib"", ""Heating"", ""City skyline view"", ""Hot water"", ""First aid kit"", ""Dishwasher"", ""Fire extinguisher"", ""Cooking basics"", ""High chair"", ""Long term stays allowed"", ""Coffee"", ""Luggage dropoff allowed"", ""Kitchen""]",$243.00,2,30,8,27,38,187,515,75,5,12/07/14,16/12/24,4.94,4.98,4.99,4.97,4.97,4.93,4.9,IT037006B4WP959WW4,f,1,1,0,0,4.05
110,3396987,20241200000000.0,20/12/24,city scrape,17135569,23/06/14,within a day,100.0,75%,t,1,t,t,Santo Stefano,44.4941,11.35174,Entire rental unit,Entire home/apt,5,2.0,2 baths,3.0,4.0,"[""Wine glasses"", ""Dining table"", ""Bidet"", ""Microwave"", ""Books and reading material"", ""Wifi"", ""Hair dryer"", ""Oven"", ""Bed linens"", ""Iron"", ""Hangers"", ""Hot water kettle"", ""Carbon monoxide alarm"", ""Babysitter recommendations"", ""Outdoor dining area"", ""AC - split type ductless system"", ""Refrigerator"", ""Radiant heating"", ""Dishes and silverware"", ""Outdoor furniture"", ""Smeg stainless steel gas stove"", ""Drying rack for clothing"", ""Free washer \u2013 In unit"", ""Essentials"", ""Freezer"", ""Coffee maker: espresso machine"", ""Host greets you"", ""City skyline view"", ""Cleaning products"", ""Hot water"", ""Clothing storage: closet"", ""Coffee"", ""First aid kit"", ""Paid parking garage off premises"", ""Room-darkening shades"", ""Free dryer \u2013 In unit"", ""Cooking basics"", ""Crib - available upon request"", ""Standalone high chair"", ""Bathtub"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Portable fans"", ""Luggage dropoff allowed"", ""Toaster"", ""Kitchen""]",$250.00,3,30,9,9,9,9,178,9,0,11/11/14,02/11/24,4.82,4.88,4.88,4.88,4.9,4.94,4.78,,f,1,1,0,0,1.45
113,3573660,20241200000000.0,20/12/24,city scrape,11580855,23/01/14,a few days or more,0.0,31%,f,3,t,t,Santo Stefano,44.48976,11.35412,Private room in rental unit,Private room,1,2.0,2 baths,1.0,1.0,"[""Shampoo"", ""Lock on bedroom door"", ""TV"", ""Hangers"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Essentials"", ""Washer"", ""Refrigerator"", ""Heating"", ""Bikes"", ""Wifi"", ""Hair dryer"", ""Oven"", ""Iron"", ""Kitchen""]",$35.00,31,1125,30,60,71,334,19,3,0,18/07/14,14/07/24,4.32,4.17,3.61,4.37,4.56,4.72,3.89,,f,3,1,2,0,0.15
125,4108855,20241200000000.0,20/12/24,city scrape,6106441,26/04/13,within a day,100.0,72%,t,1,t,t,Santo Stefano,44.49607,11.34581,Private room in rental unit,Private room,2,1.5,1.5 baths,1.0,1.0,"[""Lock on bedroom door"", ""Bidet"", ""Washer"", ""Books and reading material"", ""Wifi"", ""Hair dryer"", ""Children\u2019s books and toys"", ""Iron"", ""Hangers"", ""Indoor fireplace"", ""Dishes and silverware"", ""Smoking allowed"", ""Essentials"", ""Air conditioning"", ""Patio or balcony"", ""Heating"", ""Cleaning products"", ""Hot water"", ""Shampoo"", ""Cooking basics"", ""Extra pillows and blankets"", ""Kitchen""]",$76.00,2,10,25,55,85,240,68,16,0,26/09/14,10/11/24,4.91,4.93,4.81,4.87,4.91,4.94,4.74,,f,1,0,1,0,0.55
127,4136349,20241200000000.0,20/12/24,city scrape,20450769,23/08/14,,,,f,1,t,t,San Donato - San Vitale,44.49874,11.41059,Entire home,Entire home/apt,6,2.0,2 baths,3.0,4.0,"[""Shampoo"", ""Pets allowed"", ""Dryer"", ""Hangers"", ""Essentials"", ""Free parking on premises"", ""Washer"", ""Heating"", ""Wifi"", ""Hair dryer"", ""Iron"", ""Kitchen""]",$65.00,3,365,0,0,0,0,25,0,0,25/09/14,27/09/19,4.68,4.92,4.76,4.92,4.92,4.44,4.68,,t,1,1,0,0,0.2
129,4156614,20241200000000.0,20/12/24,city scrape,18015558,12/07/14,a few days or more,0.0,0%,f,3,t,t,Santo Stefano,44.48778,11.34176,Entire rental unit,Entire home/apt,3,2.0,2 baths,2.0,3.0,"[""TV"", ""Hot tub"", ""Washer"", ""Air conditioning"", ""Heating"", ""Kitchen""]",$120.00,4,1125,30,60,88,359,1,0,0,26/09/14,26/09/14,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,f,1,1,0,0,0.01
145,4524306,20241200000000.0,20/12/24,city scrape,23454525,07/11/14,within an hour,100.0,100%,t,1,t,t,Porto - Saragozza,44.49946,11.33719,Entire condo,Entire home/apt,7,3.0,3 baths,3.0,7.0,"[""TV"", ""Washer"", ""Wifi"", ""Hair dryer"", ""Oven"", ""Iron"", ""Paid parking off premises"", ""Elevator"", ""Refrigerator"", ""Dishes and silverware"", ""Essentials"", ""Air conditioning"", ""Host greets you"", ""Heating"", ""Hot water"", ""Shampoo"", ""High chair"", ""Long term stays allowed"", ""Kitchen""]",$160.00,6,29,16,46,74,134,76,20,0,06/09/15,20/10/24,4.76,4.84,4.68,4.93,4.86,4.92,4.7,IT037006C27VHXG3HR,f,1,1,0,0,0.67
162,5428240,20241200000000.0,20/12/24,city scrape,8412805,26/08/13,within an hour,100.0,100%,t,4,t,t,Porto - Saragozza,44.4891,11.33718,Entire rental unit,Entire home/apt,8,3.5,3.5 baths,4.0,5.0,"[""TV"", ""Wine glasses"", ""Dining table"", ""Bidet"", ""Smoke alarm"", ""Washer"", ""Books and reading material"", ""Wifi"", ""Hair dryer"", ""Oven"", ""Children\u2019s books and toys"", ""Bed linens"", ""Iron"", ""Stove"", ""Backyard"", ""Hangers"", ""Hot water kettle"", ""Elevator"", ""Shower gel"", ""Refrigerator"", ""Indoor fireplace"", ""Coffee maker"", ""Dishes and silverware"", ""Drying rack for clothing"", ""Private entrance"", ""Clothing storage: walk-in closet, closet, and dresser"", ""Hot tub"", ""Essentials"", ""Freezer"", ""Air conditioning"", ""Crib"", ""Patio or balcony"", ""Heating"", ""Host greets you"", ""Hot water"", ""Shampoo"", ""Dishwasher"", ""Room-darkening shades"", ""Cooking basics"", ""Bathtub"", ""Extra pillows and blankets"", ""Coffee"", ""Luggage dropoff allowed"", ""Kitchen""]",$350.00,2,20,13,37,60,250,345,52,1,15/08/15,01/12/24,4.92,4.96,4.95,4.88,4.88,4.89,4.77,IT037006C29RT47H7C,f,4,4,0,0,3.03
165,5505257,20241200000000.0,20/12/24,city scrape,28458607,27/02/15,within an hour,100.0,88%,t,2,t,t,Porto - Saragozza,44.49584,11.3277,Entire vacation home,Entire home/apt,4,2.0,2 baths,2.0,2.0,"[""TV"", ""Smoke alarm"", ""Wifi"", ""Hair dryer"", ""Oven"", ""Children\u2019s books and toys"", ""Bed linens"", ""Iron"", ""Paid parking off premises"", ""Stove"", ""Hangers"", ""Pack \u2019n play/Travel crib"", ""Carbon monoxide alarm"", ""Elevator"", ""Shower gel"", ""Refrigerator"", ""Coffee maker"", ""Dishes and silverware"", ""Pets allowed"", ""Private entrance"", ""Private patio or balcony"", ""Essentials"", ""Air conditioning"", ""Host greets you"", ""Heating"", ""Hot water"", ""Shampoo"", ""First aid kit"", ""Cooking basics"", ""High chair"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Kitchen""]",$127.00,3,30,14,28,41,170,529,51,5,23/03/15,16/12/24,4.94,4.97,4.99,4.98,4.98,4.87,4.9,IT037006B44BM76XEJ,f,2,2,0,0,4.46
171,5663061,20241200000000.0,20/12/24,city scrape,22818703,21/10/14,within an hour,100.0,100%,t,3,t,t,Porto - Saragozza,44.49256,11.33822,Entire vacation home,Entire home/apt,4,2.0,2 baths,2.0,4.0,"[""TV"", ""Washer"", ""Wifi"", ""Single level home"", ""Hair dryer"", ""Oven"", ""Bed linens"", ""Iron"", ""Paid parking off premises"", ""Stove"", ""Hangers"", ""Pack \u2019n play/Travel crib"", ""AC - split type ductless system"", ""Refrigerator"", ""Dishes and silverware"", ""Private entrance"", ""Essentials"", ""Crib"", ""Heating"", ""Hot water"", ""Shampoo"", ""Self check-in"", ""Dishwasher"", ""Cooking basics"", ""High chair"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Smart lock"", ""Kitchen""]",$137.00,2,1125,16,42,61,103,343,45,0,03/05/15,18/11/24,4.75,4.76,4.8,4.91,4.94,4.93,4.71,IT037006B4WG9UI5US,t,3,3,0,0,2.92
178,5952668,20241200000000.0,20/12/24,city scrape,28458607,27/02/15,within an hour,100.0,88%,t,2,t,t,Porto - Saragozza,44.49665,11.32994,Entire vacation home,Entire home/apt,4,2.0,2 baths,2.0,2.0,"[""TV"", ""Smoke alarm"", ""Wifi"", ""Hair dryer"", ""Oven"", ""Children\u2019s books and toys"", ""Bed linens"", ""Iron"", ""Paid parking off premises"", ""Stove"", ""Hangers"", ""Pack \u2019n play/Travel crib"", ""Carbon monoxide alarm"", ""Elevator"", ""Shower gel"", ""Refrigerator"", ""Coffee maker"", ""Dishes and silverware"", ""Pets allowed"", ""Private entrance"", ""Essentials"", ""Air conditioning"", ""Patio or balcony"", ""Host greets you"", ""Heating"", ""Hot water"", ""Shampoo"", ""First aid kit"", ""High chair"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Kitchen""]",$123.00,3,30,12,41,54,213,530,42,4,27/04/15,17/12/24,4.96,4.97,4.99,4.99,4.98,4.9,4.9,IT037006B44BM76XEJ,f,2,2,0,0,4.51
180,6061875,20241200000000.0,20/12/24,city scrape,31452296,18/04/15,,,50%,f,2,t,t,Santo Stefano,44.47959,11.33609,Entire rental unit,Entire home/apt,6,2.0,2 baths,3.0,6.0,"[""Shampoo"", ""Hangers"", ""Elevator"", ""Essentials"", ""Washer"", ""Heating"", ""Wifi"", ""Hair dryer"", ""Iron"", ""Kitchen""]",$200.00,7,360,0,0,0,172,39,0,0,27/08/15,07/09/23,4.92,4.95,4.92,5.0,5.0,4.87,4.92,,f,1,1,0,0,0.34
181,6150628,20241200000000.0,20/12/24,city scrape,31906158,25/04/15,within a few hours,100.0,100%,t,1,t,t,Porto - Saragozza,44.49678,11.32967,Entire serviced apartment,Entire home/apt,6,2.0,2 baths,3.0,4.0,"[""TV"", ""Bidet"", ""Microwave"", ""Wifi"", ""Hair dryer"", ""Oven"", ""Bed linens"", ""Iron"", ""Stainless steel gas stove"", ""Hangers"", ""Refrigerator"", ""Coffee maker"", ""Free washer \u2013 In unit"", ""Essentials"", ""Air conditioning"", ""Heating"", ""Hot water"", ""Shampoo"", ""First aid kit"", ""Paid parking garage off premises"", ""Dishwasher"", ""Self check-in"", ""Free dryer \u2013 In unit"", ""Lockbox"", ""High chair"", ""Bathtub"", ""Kitchen""]",$206.00,2,30,14,14,14,60,112,12,0,14/07/15,10/11/24,4.91,4.94,4.91,4.93,4.99,4.82,4.89,IT037006B4M685ML6S,t,1,1,0,0,0.97
