Unnamed: 0,id,scrape_id,last_scraped,source,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
615,20259757,20241200000000.0,20/12/24,city scrape,23800647,16/11/14,within a day,100.0,100%,f,1,t,t,Santo Stefano,44.48726,11.34228,Entire rental unit,Entire home/apt,5,2.0,2 baths,3.0,5.0,"[""TV"", ""Wine glasses"", ""Dining table"", ""Bidet"", ""Smoke alarm"", ""Microwave"", ""Washer"", ""Clothing storage"", ""Books and reading material"", ""Wifi"", ""Single level home"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Stainless steel gas stove"", ""Hangers"", ""Hot water kettle"", ""Carbon monoxide alarm"", ""Shower gel"", ""Refrigerator"", ""Body soap"", ""Dishes and silverware"", ""Stainless steel double oven"", ""Window guards"", ""Drying rack for clothing"", ""Private entrance"", ""Essentials"", ""Freezer"", ""Air conditioning"", ""Conditioner"", ""Heating"", ""Cleaning products"", ""Hot water"", ""Shampoo"", ""First aid kit"", ""Dishwasher"", ""Room-darkening shades"", ""Fire extinguisher"", ""Coffee maker: drip coffee maker, french press"", ""Cooking basics"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Long term stays allowed"", ""Coffee"", ""Luggage dropoff allowed"", ""Toaster"", ""Kitchen""]",190.0,5,1125,20,40,45,256,32,9,1,05/11/17,09/12/24,5.0,4.97,5.0,5.0,5.0,4.97,4.94,IT037006C2SX5PFK96,t,1,1,0,0,0.37
616,20261719,20241200000000.0,20/12/24,city scrape,142687985,26/07/17,within a few hours,75.0,100%,f,5,t,t,Santo Stefano,44.4989,11.34953,Private room in bed and breakfast,Private room,3,1.0,1 private bath,1.0,1.0,"[""Lock on bedroom door"", ""TV"", ""Wine glasses"", ""Bidet"", ""Cleaning available during stay"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Paid parking off premises"", ""Hangers"", ""Hot water kettle"", ""Shower gel"", ""Body soap"", ""Coffee maker"", ""Private entrance"", ""Breakfast"", ""Exterior security cameras on property"", ""Essentials"", ""Air conditioning"", ""Crib"", ""Host greets you"", ""Heating"", ""Hot water"", ""Shampoo"", ""Fire extinguisher"", ""Mini fridge"", ""Luggage dropoff allowed""]",124.0,1,25,6,33,62,78,18,3,0,30/06/18,02/06/24,4.83,5.0,5.0,4.89,5.0,4.61,4.72,IT037006B449BXJTJM,t,5,0,5,0,0.23
617,20262666,20241200000000.0,20/12/24,city scrape,142687985,26/07/17,within a few hours,75.0,100%,f,5,t,t,Santo Stefano,44.49868,11.34936,Private room in bed and breakfast,Private room,3,1.0,1 private bath,1.0,1.0,"[""Lock on bedroom door"", ""TV"", ""Wine glasses"", ""Bidet"", ""Smoke alarm"", ""Cleaning available during stay"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Coffee maker: Nespresso"", ""Paid parking off premises"", ""Hangers"", ""Hot water kettle"", ""Shower gel"", ""Body soap"", ""Private entrance"", ""Breakfast"", ""Essentials"", ""Air conditioning"", ""Crib"", ""Host greets you"", ""Heating"", ""Hot water"", ""Shampoo"", ""Fire extinguisher"", ""Mini fridge"", ""Luggage dropoff allowed""]",131.0,1,25,15,44,69,94,3,0,0,16/05/21,07/08/22,5.0,5.0,5.0,5.0,5.0,5.0,5.0,IT037006B449BXJTJM,t,5,0,5,0,0.07
618,20263550,20241200000000.0,20/12/24,city scrape,142687985,26/07/17,within a few hours,75.0,100%,f,5,t,t,Santo Stefano,44.49867,11.34927,Private room in bed and breakfast,Private room,2,1.0,1 private bath,1.0,1.0,"[""TV"", ""Bidet"", ""Smoke alarm"", ""Cleaning available during stay"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Coffee maker: Nespresso"", ""Paid parking off premises"", ""Hangers"", ""Hot water kettle"", ""Shower gel"", ""Body soap"", ""Private entrance"", ""Breakfast"", ""Essentials"", ""Air conditioning"", ""Crib"", ""Host greets you"", ""Heating"", ""Hot water"", ""Shampoo"", ""Fire extinguisher"", ""Mini fridge"", ""Luggage dropoff allowed""]",104.0,1,25,4,26,45,62,39,4,0,17/09/17,09/07/24,4.92,4.85,4.92,4.82,4.95,4.87,4.77,IT037006B449BXJTJM,t,5,0,5,0,0.44
620,20386719,20241200000000.0,20/12/24,city scrape,129034045,05/05/17,within an hour,100.0,100%,t,7,t,t,Porto - Saragozza,44.49931,11.34367,Entire vacation home,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Bidet"", ""Smoke alarm"", ""Microwave"", ""Washer"", ""TV with Netflix"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Paid parking off premises"", ""Stove"", ""Hangers"", ""Hot water kettle"", ""Pack \u2019n play/Travel crib"", ""Carbon monoxide alarm"", ""Keypad"", ""Refrigerator"", ""Body soap"", ""Dishes and silverware"", ""Pets allowed"", ""Essentials"", ""Coffee maker: espresso machine"", ""Air conditioning"", ""Crib"", ""Patio or balcony"", ""Heating"", ""Shampoo"", ""Self check-in"", ""Dishwasher"", ""Fire extinguisher"", ""Cooking basics"", ""High chair"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Kitchen""]",136.0,2,75,9,28,56,143,70,5,0,13/07/18,20/09/24,4.86,4.81,4.92,4.96,4.77,4.96,4.65,IT037006B4YQMIF43P,t,7,7,0,0,0.89
621,20387252,20241200000000.0,20/12/24,city scrape,129034045,05/05/17,within an hour,100.0,100%,t,7,t,t,Porto - Saragozza,44.49931,11.34367,Entire vacation home,Entire home/apt,4,1.0,1 bath,1.0,1.0,"[""TV"", ""Microwave"", ""Washer"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Paid parking off premises"", ""Stove"", ""Hangers"", ""Pack \u2019n play/Travel crib"", ""Keypad"", ""Refrigerator"", ""Coffee maker"", ""Dishes and silverware"", ""Pets allowed"", ""Essentials"", ""Air conditioning"", ""Crib"", ""Patio or balcony"", ""Heating"", ""Hot water"", ""Shampoo"", ""Self check-in"", ""Dishwasher"", ""Fire extinguisher"", ""Cooking basics"", ""High chair"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Kitchen""]",134.0,2,62,10,29,53,134,0,0,0,,,,,,,,,,IT037006B4YQMIF43P,t,7,7,0,0,
625,20595085,20241200000000.0,20/12/24,city scrape,86642341,29/07/16,within an hour,100.0,100%,t,19,t,t,Santo Stefano,44.49178695678711,11.353053092956545,Entire serviced apartment,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Induction stove"", ""TV"", ""Wine glasses"", ""Dining table"", ""Bidet"", ""Microwave"", ""Cleaning available during stay"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Hangers"", ""Hot water kettle"", ""Free washer \u2013 In building"", ""Elevator"", ""Keypad"", ""AC - split type ductless system"", ""Shower gel"", ""Refrigerator"", ""Safe"", ""Dishes and silverware"", ""Standalone high chair - available upon request"", ""Drying rack for clothing"", ""Exterior security cameras on property"", ""Essentials"", ""Freezer"", ""Heating"", ""Hot water"", ""Pack \u2019n play/Travel crib - available upon request"", ""Shampoo"", ""Clothing storage: closet"", ""First aid kit"", ""Self check-in"", ""Dishwasher"", ""Room-darkening shades"", ""Fire extinguisher"", ""Cooking basics"", ""Crib - available upon request"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Free dryer \u2013 In building"", ""Kitchen""]",182.0,3,1125,20,50,79,202,7,2,0,23/09/18,16/09/24,5.0,5.0,5.0,4.86,4.86,5.0,4.57,,t,19,19,0,0,0.09
627,20624438,20241200000000.0,20/12/24,city scrape,147409285,23/08/17,within an hour,100.0,95%,t,2,t,t,Santo Stefano,44.4914,11.35551,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,"[""Wine glasses"", ""Dining table"", ""Bidet"", ""Laundromat nearby"", ""Window AC unit"", ""Microwave"", ""Wifi"", ""Single level home"", ""Hair dryer"", ""Oven"", ""Bed linens"", ""Iron"", ""Courtyard view"", ""Stove"", ""Hangers"", ""Hot water kettle"", ""Central heating"", ""Outdoor dining area"", ""Shower gel"", ""Refrigerator"", ""Coffee maker"", ""Clothing storage: walk-in closet"", ""Dishes and silverware"", ""Outdoor furniture"", ""Drying rack for clothing"", ""Private entrance"", ""Paid parking garage on premises \u2013 1 space"", ""Exterior security cameras on property"", ""Private patio or balcony"", ""Mosquito net"", ""Essentials"", ""Freezer"", ""Host greets you"", ""42 inch HDTV"", ""Cleaning products"", ""Hot water"", ""Private backyard \u2013 Fully fenced"", ""Shampoo"", ""Dishwasher"", ""Room-darkening shades"", ""Baking sheet"", ""Cooking basics"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Coffee"", ""Kitchen""]",115.0,3,29,30,60,90,90,114,10,0,29/09/17,27/10/24,4.85,4.93,4.91,4.94,4.96,4.88,4.75,IT037006C2Z5BH7BPN,f,2,2,0,0,1.3
629,20644180,20241200000000.0,20/12/24,city scrape,147618750,25/08/17,within an hour,100.0,100%,f,12,t,t,Santo Stefano,44.48713,11.342,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,"[""Microwave"", ""Washer"", ""TV with standard cable"", ""Wifi"", ""Hair dryer"", ""Oven"", ""Iron"", ""Ethernet connection"", ""Stove"", ""Shower gel"", ""Refrigerator"", ""Coffee maker"", ""Dishes and silverware"", ""Pets allowed"", ""Pocket wifi"", ""Essentials"", ""Air conditioning"", ""Patio or balcony"", ""Heating"", ""City skyline view"", ""Hot water"", ""Dishwasher"", ""Cooking basics"", ""Kitchen""]",114.0,1,1125,27,57,87,247,77,0,0,15/09/17,09/08/23,4.78,4.83,4.88,4.77,4.79,4.82,4.52,IT037006B4AQFYMDMU,t,12,12,0,0,0.87
632,20673358,20241200000000.0,20/12/24,city scrape,147618750,25/08/17,within an hour,100.0,100%,f,12,t,t,Santo Stefano,44.48826,11.34224,Entire rental unit,Entire home/apt,6,1.5,1.5 baths,2.0,3.0,"[""Washer"", ""TV with standard cable"", ""Wifi"", ""Hair dryer"", ""Iron"", ""Stove"", ""Shower gel"", ""Refrigerator"", ""Coffee maker"", ""Dishes and silverware"", ""Pets allowed"", ""Essentials"", ""Air conditioning"", ""Heating"", ""Hot water"", ""Dishwasher"", ""Fire extinguisher"", ""Cooking basics"", ""Kitchen""]",124.0,1,1125,26,56,85,241,101,14,1,10/09/17,23/11/24,4.76,4.77,4.82,4.84,4.82,4.79,4.61,IT037006B4AQFYMDMU,t,12,12,0,0,1.14
645,20810684,20241200000000.0,20/12/24,city scrape,83659856,14/07/16,,,0%,f,1,t,t,Santo Stefano,44.49085,11.3495,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,1.0,"[""TV"", ""Microwave"", ""Washer"", ""Outlet covers"", ""Wifi"", ""Single level home"", ""Hair dryer"", ""Oven"", ""Iron"", ""Paid parking off premises"", ""Stove"", ""Backyard"", ""Hangers"", ""Refrigerator"", ""Coffee maker"", ""Dishes and silverware"", ""Private entrance"", ""Breakfast"", ""Essentials"", ""Host greets you"", ""Crib"", ""Heating"", ""Hot water"", ""Shampoo"", ""Dishwasher"", ""Cooking basics"", ""High chair"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Kitchen""]",170.0,1,29,17,45,67,285,39,0,0,17/10/17,13/05/23,4.95,5.0,5.0,5.0,5.0,5.0,4.95,,f,1,1,0,0,0.45
646,20827807,20241200000000.0,20/12/24,city scrape,149363046,06/09/17,within an hour,100.0,100%,t,4,t,t,Santo Stefano,44.49931,11.34586,Entire vacation home,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""TV"", ""Smoke alarm"", ""Microwave"", ""Washer"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Paid parking off premises"", ""Stove"", ""Hangers"", ""Keypad"", ""Refrigerator"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Pets allowed"", ""Private entrance"", ""Essentials"", ""Air conditioning"", ""Crib"", ""Heating"", ""Hot water"", ""Shampoo"", ""Self check-in"", ""Dishwasher"", ""Fire extinguisher"", ""Cooking basics"", ""High chair"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Kitchen""]",145.0,2,30,7,37,67,303,69,6,0,20/04/18,24/09/24,4.88,5.0,5.0,5.0,5.0,4.85,4.8,IT037006B4KLDTYL3Q,t,4,4,0,0,0.85
